dateFrom;dateThru;Group;promotionType;sku;store
1.01.2012;31.01.2012;Special;Media;1122735;
1.01.2012;31.01.2012;Special;Media;1114952;
1.01.2012;31.01.2012;Special;Media;1100480;
6.01.2012;2.02.2012;flyer;Flyer;2014630;
6.01.2012;2.02.2012;flyer;Flyer;1111699;
6.01.2012;2.02.2012;flyer;Flyer;1106885;
6.01.2012;2.02.2012;flyer;Flyer;1101227;
3.02.2012;1.03.2012;flyer;Flyer;2014440;
3.02.2012;1.03.2012;flyer;Flyer;1122022;
3.02.2012;1.03.2012;flyer;Flyer;1113493;
3.02.2012;1.03.2012;flyer;Flyer;1111699;
3.02.2012;1.03.2012;flyer;Flyer;1100552;
3.02.2012;1.03.2012;flyer;Flyer;1100480;
2.03.2012;5.04.2012;flyer;Flyer;1123317;
2.03.2012;5.04.2012;flyer;Flyer;1117427;
2.03.2012;5.04.2012;flyer;Flyer;1115262;
2.03.2012;5.04.2012;flyer;Flyer;1111699;
2.03.2012;5.04.2012;flyer;Flyer;1107498;
2.03.2012;5.04.2012;flyer;Flyer;1100480;
2.03.2012;5.04.2012;flyer;Flyer;1086953;
2.03.2012;5.04.2012;flyer;Flyer;1036974;
2.03.2012;5.04.2012;flyer;Flyer;1036968;
6.04.2012;3.05.2012;flyer;Flyer;2015189;
6.04.2012;3.05.2012;flyer;Flyer;2013624;
6.04.2012;3.05.2012;flyer;Flyer;2012843;
6.04.2012;3.05.2012;flyer;Flyer;1124207;
6.04.2012;3.05.2012;flyer;Flyer;1124050;
6.04.2012;3.05.2012;flyer;Flyer;1124048;
6.04.2012;3.05.2012;flyer;Flyer;1117427;
6.04.2012;3.05.2012;flyer;Flyer;1107498;
6.04.2012;3.05.2012;flyer;Flyer;1100480;
6.04.2012;3.05.2012;flyer;Flyer;1095699;
6.04.2012;3.05.2012;flyer;Flyer;1095693;
6.04.2012;3.05.2012;flyer;Flyer;1086953;
6.04.2012;3.05.2012;flyer;Flyer;1074865;
6.04.2012;3.05.2012;flyer;Flyer;1071580;
6.04.2012;3.05.2012;flyer;Flyer;1067726;
6.04.2012;3.05.2012;flyer;Flyer;1036974;
6.04.2012;3.05.2012;flyer;Flyer;1036968;
1.05.2012;31.05.2012;Special;Media;1134245;
1.05.2012;31.05.2012;Special;Media;1134240;
1.05.2012;31.05.2012;Special;Media;1134239;
1.05.2012;31.05.2012;Special;Media;1134238;
1.05.2012;31.05.2012;Special;Media;1134235;
1.05.2012;31.05.2012;Special;Media;1124157;
1.05.2012;31.05.2012;Special;Media;1124050;
1.05.2012;31.05.2012;Special;Media;1124048;
4.05.2012;31.05.2012;flyer;Flyer;2015280;
4.05.2012;31.05.2012;flyer;Flyer;2014440;
4.05.2012;31.05.2012;flyer;Flyer;2013624;
4.05.2012;31.05.2012;flyer;Flyer;1124157;
4.05.2012;31.05.2012;flyer;Flyer;1124050;
4.05.2012;31.05.2012;flyer;Flyer;1124048;
4.05.2012;31.05.2012;flyer;Flyer;1122154;
4.05.2012;31.05.2012;flyer;Flyer;1117427;
4.05.2012;31.05.2012;flyer;Flyer;1115262;
4.05.2012;31.05.2012;flyer;Flyer;1110029;
4.05.2012;31.05.2012;flyer;Flyer;1100480;
1.06.2012;5.07.2012;flyer;Flyer;2015189;
1.06.2012;5.07.2012;flyer;Flyer;2009364;
1.06.2012;5.07.2012;flyer;Flyer;1130504;
1.06.2012;5.07.2012;flyer;Flyer;1129888;
1.06.2012;5.07.2012;flyer;Flyer;1124207;
1.06.2012;5.07.2012;flyer;Flyer;1124050;
1.06.2012;5.07.2012;flyer;Flyer;1124048;
1.06.2012;5.07.2012;flyer;Flyer;1117427;
1.06.2012;5.07.2012;flyer;Flyer;1113493;
1.06.2012;5.07.2012;flyer;Flyer;1101227;
1.06.2012;5.07.2012;flyer;Flyer;1100480;
1.06.2012;5.07.2012;flyer;Flyer;1095699;
1.06.2012;5.07.2012;flyer;Flyer;1095693;
1.06.2012;5.07.2012;flyer;Flyer;1080774;
1.06.2012;5.07.2012;flyer;Flyer;1071580;
1.06.2012;5.07.2012;flyer;Flyer;1071180;
1.06.2012;5.07.2012;flyer;Flyer;1024511;
6.07.2012;2.08.2012;flyer;Flyer;2015289;
6.07.2012;2.08.2012;flyer;Flyer;2015276;
6.07.2012;2.08.2012;flyer;Flyer;2014273;
6.07.2012;2.08.2012;flyer;Flyer;2014272;
6.07.2012;2.08.2012;flyer;Flyer;2014271;
6.07.2012;2.08.2012;flyer;Flyer;2014267;
6.07.2012;2.08.2012;flyer;Flyer;2014243;
6.07.2012;2.08.2012;flyer;Flyer;2013624;
6.07.2012;2.08.2012;flyer;Flyer;2011738;
6.07.2012;2.08.2012;flyer;Flyer;2010150;
6.07.2012;2.08.2012;flyer;Flyer;2006025;
6.07.2012;2.08.2012;flyer;Flyer;2006024;
6.07.2012;2.08.2012;flyer;Flyer;1136716;
6.07.2012;2.08.2012;flyer;Flyer;1124122;
6.07.2012;2.08.2012;flyer;Flyer;1119007;
6.07.2012;2.08.2012;flyer;Flyer;1115262;
6.07.2012;2.08.2012;flyer;Flyer;1110029;
6.07.2012;2.08.2012;flyer;Flyer;1107498;
6.07.2012;2.08.2012;flyer;Flyer;1100480;
6.07.2012;2.08.2012;flyer;Flyer;1086953;
6.07.2012;2.08.2012;flyer;Flyer;1084124;
6.07.2012;2.08.2012;flyer;Flyer;1084123;
6.07.2012;2.08.2012;flyer;Flyer;1036974;
6.07.2012;2.08.2012;flyer;Flyer;1036968;
1.09.2012;30.09.2012;Special;Media;1137166;
1.09.2012;30.09.2012;Special;Media;1115262;
1.09.2012;30.09.2012;Special;Media;1075951;
31.08.2012;4.10.2012;flyer;Flyer;2016391;
31.08.2012;4.10.2012;flyer;Flyer;2016375;
31.08.2012;4.10.2012;flyer;Flyer;2016374;
31.08.2012;4.10.2012;flyer;Flyer;2015189;
31.08.2012;4.10.2012;flyer;Flyer;2012700;
31.08.2012;4.10.2012;flyer;Flyer;2009141;
31.08.2012;4.10.2012;flyer;Flyer;1137855;
31.08.2012;4.10.2012;flyer;Flyer;1137678;
31.08.2012;4.10.2012;flyer;Flyer;1137559;
31.08.2012;4.10.2012;flyer;Flyer;1137378;
31.08.2012;4.10.2012;flyer;Flyer;1137377;
31.08.2012;4.10.2012;flyer;Flyer;1137376;
